Distrito,Cluster,OLT,F,S,P,Código QR,Cuenta,Puerto N2,Serie ONT,Conteo,Status Port,Codigos QR,Fecha,,Actualización Puerto,Latitud,Longitud,Nombre SP,Capacidad,Ubicacion,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP255806,,,,,,,,,,31.725937,-106.493953,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP255806,,,,,,,,,,31.725937,-106.493953,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP255806,,,,,,,,,,31.725937,-106.493953,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP255806,,,,,,,,,,31.725937,-106.493953,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP255806,,,,,,,,,,31.725937,-106.493953,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP255806,,,,,,,,,,31.725937,-106.493953,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP255806,,,,,,,,,,31.725937,-106.493953,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP255806,,,,,,,,,,31.725937,-106.493953,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP262763,,,,,,,,,,31.724288,-106.494766,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP262763,,,,,,,,,,31.724288,-106.494766,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP262763,,,,,,,,,,31.724288,-106.494766,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP262763,,,,,,,,,,31.724288,-106.494766,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP1078980,,,,,,,,,,31.723913,-106.496797,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP1078980,,,,,,,,,,31.723913,-106.496797,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP1078980,,,,,,,,,,31.723913,-106.496797,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP1078980,,,,,,,,,,31.723913,-106.496797,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP1078980,,,,,,,,,,31.723913,-106.496797,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP245751,,,,,,,,,,31.729462,-106.497422,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP245751,,,,,,,,,,31.729462,-106.497422,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP245751,,,,,,,,,,31.729462,-106.497422,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP248109,,,,,,,,,,31.726181,-106.497383,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP248109,,,,,,,,,,31.726181,-106.497383,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP248109,,,,,,,,,,31.726181,-106.497383,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP248109,,,,,,,,,,31.726181,-106.497383,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP248109,,,,,,,,,,31.726181,-106.497383,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP248109,,,,,,,,,,31.726181,-106.497383,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP248109,,,,,,,,,,31.726181,-106.497383,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP248109,,,,,,,,,,31.726181,-106.497383,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP248109,,,,,,,,,,31.726181,-106.497383,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP248109,,,,,,,,,,31.726181,-106.497383,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP248109,,,,,,,,,,31.726181,-106.497383,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP248111,,,,,,,,,,31.726087,-106.495922,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP248111,,,,,,,,,,31.726087,-106.495922,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP248111,,,,,,,,,,31.726087,-106.495922,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP248111,,,,,,,,,,31.726087,-106.495922,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP248111,,,,,,,,,,31.726087,-106.495922,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP248111,,,,,,,,,,31.726087,-106.495922,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP248111,,,,,,,,,,31.726087,-106.495922,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP248111,,,,,,,,,,31.726087,-106.495922,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP248111,,,,,,,,,,31.726087,-106.495922,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP248155,,,,,,,,,,31.729363,-106.496047,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP248155,,,,,,,,,,31.729363,-106.496047,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP248155,,,,,,,,,,31.729363,-106.496047,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP248155,,,,,,,,,,31.729363,-106.496047,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP248155,,,,,,,,,,31.729363,-106.496047,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP249432,,,,,,,,,,31.725881,-106.495975,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP249432,,,,,,,,,,31.725881,-106.495975,,,,
